date,district,ndvi_raw,ndvi
2020-04-06,Pauri_Garhwal,6013.92726319314,0.601392726319314
2020-04-22,Pauri_Garhwal,5956.73135459904,0.595673135459904
2020-05-08,Pauri_Garhwal,6156.899749183428,0.6156899749183428
2020-05-24,Pauri_Garhwal,5649.861093737167,0.5649861093737166
2020-06-09,Pauri_Garhwal,5791.1246154040555,0.5791124615404055
2020-06-25,Pauri_Garhwal,6274.25145467296,0.627425145467296
2021-04-07,Pauri_Garhwal,4633.697958719507,0.46336979587195076
2021-04-23,Pauri_Garhwal,4677.6771320988355,0.46776771320988353
2021-05-09,Pauri_Garhwal,5608.712578103776,0.5608712578103776
2021-05-25,Pauri_Garhwal,6015.801586399044,0.6015801586399044
2021-06-10,Pauri_Garhwal,6609.454413141974,0.6609454413141974
2021-06-26,Pauri_Garhwal,7364.1307499857885,0.7364130749985789
2022-04-07,Pauri_Garhwal,5497.912489022825,0.5497912489022825
2022-04-23,Pauri_Garhwal,5304.714549256709,0.5304714549256708
2022-05-09,Pauri_Garhwal,5359.045712426477,0.5359045712426477
2022-05-25,Pauri_Garhwal,5240.608798797095,0.5240608798797095
2022-06-10,Pauri_Garhwal,5578.676538225835,0.5578676538225835
2022-06-26,Pauri_Garhwal,5129.001601561758,0.5129001601561758
2023-04-07,Pauri_Garhwal,5614.073330679857,0.5614073330679856
2023-04-23,Pauri_Garhwal,5754.722895067699,0.5754722895067699
2023-05-09,Pauri_Garhwal,5622.356510174816,0.5622356510174816
2023-05-25,Pauri_Garhwal,5770.147561645912,0.5770147561645912
2023-06-10,Pauri_Garhwal,6063.434819279393,0.6063434819279393
2023-06-26,Pauri_Garhwal,5138.582835806753,0.5138582835806753
2024-04-06,Pauri_Garhwal,5521.267362887991,0.5521267362887992
2024-04-22,Pauri_Garhwal,5204.36778112621,0.520436778112621
2024-05-08,Pauri_Garhwal,5089.244678834749,0.5089244678834749
2024-05-24,Pauri_Garhwal,4872.121756600519,0.48721217566005187
2024-06-09,Pauri_Garhwal,4651.301197854475,0.46513011978544744
2024-06-25,Pauri_Garhwal,4527.5122154621795,0.45275122154621794
2020-04-06,Chamoli,5551.311925301426,0.5551311925301425
2020-04-22,Chamoli,5462.899295278588,0.5462899295278588
2020-05-08,Chamoli,6457.469996430591,0.6457469996430591
2020-05-24,Chamoli,6431.19038849703,0.643119038849703
2020-06-09,Chamoli,6842.160329649152,0.6842160329649152
2020-06-25,Chamoli,5644.337890384387,0.5644337890384387
2021-04-07,Chamoli,5155.845814156971,0.5155845814156971
2021-04-23,Chamoli,5307.583074051028,0.5307583074051028
2021-05-09,Chamoli,6191.719333878744,0.6191719333878744
2021-05-25,Chamoli,6787.66707835959,0.678766707835959
2021-06-10,Chamoli,7467.785579586772,0.7467785579586772
2021-06-26,Chamoli,6476.391899020469,0.6476391899020469
2022-04-07,Chamoli,6120.149545611051,0.6120149545611051
2022-04-23,Chamoli,6312.385938422953,0.6312385938422953
2022-05-09,Chamoli,6385.8201839035455,0.6385820183903546
2022-05-25,Chamoli,6427.601391753716,0.6427601391753716
2022-06-10,Chamoli,6564.00426433844,0.656400426433844
2022-06-26,Chamoli,6367.637398564026,0.6367637398564026
2023-04-07,Chamoli,5389.542297499201,0.53895422974992
2023-04-23,Chamoli,5716.110263157066,0.5716110263157066
2023-05-09,Chamoli,5895.549521604399,0.58955495216044
2023-05-25,Chamoli,6478.307304022059,0.6478307304022058
2023-06-10,Chamoli,6953.2123545781615,0.6953212354578161
2023-06-26,Chamoli,3698.519162673454,0.3698519162673454
2024-04-06,Chamoli,5675.122092747783,0.5675122092747783
2024-04-22,Chamoli,5903.6304208428255,0.5903630420842826
2024-05-08,Chamoli,6615.163801136525,0.6615163801136524
2024-05-24,Chamoli,6489.795024306729,0.6489795024306729
2024-06-09,Chamoli,6768.313229873112,0.6768313229873112
2024-06-25,Chamoli,6531.866115566727,0.6531866115566727
2020-04-06,Almora,5086.773439893861,0.5086773439893861
2020-04-22,Almora,5242.072364285375,0.5242072364285375
2020-05-08,Almora,5425.116964920313,0.5425116964920313
2020-05-24,Almora,5254.436197937228,0.5254436197937228
2020-06-09,Almora,5694.3610854011,0.5694361085401101
2020-06-25,Almora,6059.207183358863,0.6059207183358863
2021-04-07,Almora,4175.566316554259,0.4175566316554259
2021-04-23,Almora,4413.789455562044,0.44137894555620444
2021-05-09,Almora,5345.858079699273,0.5345858079699273
2021-05-25,Almora,5797.821148895167,0.5797821148895167
2021-06-10,Almora,6459.139146778703,0.6459139146778703
2021-06-26,Almora,6428.587152717449,0.6428587152717449
2022-04-07,Almora,4590.484131221077,0.45904841312210776
2022-04-23,Almora,4525.111929619511,0.45251119296195114
2022-05-09,Almora,4736.6607458183935,0.47366607458183935
2022-05-25,Almora,5094.743784056984,0.5094743784056984
2022-06-10,Almora,5701.6075339977515,0.5701607533997751
2022-06-26,Almora,6437.608510100608,0.6437608510100609
2023-04-07,Almora,5072.0974839290475,0.5072097483929048
2023-04-23,Almora,5365.8741522278215,0.5365874152227822
2023-05-09,Almora,5007.573499913127,0.5007573499913127
2023-05-25,Almora,5328.106341509635,0.5328106341509635
2023-06-10,Almora,5169.168834204661,0.516916883420466
2023-06-26,Almora,4844.941029488416,0.48449410294884154
2024-04-06,Almora,4549.5316412111215,0.45495316412111214
2024-04-22,Almora,4437.360974839289,0.4437360974839289
2024-05-08,Almora,4669.346876628811,0.46693468766288104
2024-05-24,Almora,4804.551722395084,0.4804551722395084
2024-06-09,Almora,4726.453379242811,0.4726453379242811
2024-06-25,Almora,5422.284980967573,0.5422284980967572
2020-04-06,Nainital,6491.392646622149,0.6491392646622149
2020-04-22,Nainital,6506.055136118672,0.6506055136118671
2020-05-08,Nainital,7091.015093409822,0.7091015093409822
2020-05-24,Nainital,6866.796393755406,0.6866796393755406
2020-06-09,Nainital,5229.356230375094,0.5229356230375094
2020-06-25,Nainital,2282.517753236333,0.22825177532363333
2021-04-07,Nainital,5657.98355772329,0.565798355772329
2021-04-23,Nainital,5719.490330488179,0.571949033048818
2021-05-09,Nainital,6395.63587543672,0.639563587543672
2021-05-25,Nainital,7059.587309910855,0.7059587309910855
2021-06-10,Nainital,2405.123893581669,0.2405123893581669
2021-06-26,Nainital,6804.186576405253,0.6804186576405252
2022-04-07,Nainital,6586.866531674682,0.6586866531674682
2022-04-23,Nainital,6461.225270247218,0.6461225270247218
2022-05-09,Nainital,6301.396570024196,0.6301396570024196
2022-05-25,Nainital,7019.285991369779,0.7019285991369779
2022-06-10,Nainital,6377.084947024593,0.6377084947024593
2022-06-26,Nainital,3427.163222370343,0.3427163222370343
2023-04-07,Nainital,6200.766074260337,0.6200766074260337
2023-04-23,Nainital,6514.092790669757,0.6514092790669757
2023-05-09,Nainital,6905.980212407049,0.6905980212407049
2023-05-25,Nainital,7264.075192221425,0.7264075192221425
2023-06-10,Nainital,7043.2441552036435,0.7043244155203644
2023-06-26,Nainital,3275.0256000404356,0.32750256000404354
2024-04-06,Nainital,6299.405670927023,0.6299405670927023
2024-04-22,Nainital,5909.491521408131,0.5909491521408131
2024-05-08,Nainital,6064.99219742104,0.606499219742104
2024-05-24,Nainital,6288.6359702048885,0.6288635970204889
2024-06-09,Nainital,6602.251413625138,0.6602251413625139
2024-06-25,Nainital,3624.1293806584513,0.3624129380658451
